SampleID,A type,B type
train1,Numerical,Numerical
train2,Numerical,Numerical
train3,Numerical,Numerical
train4,Numerical,Numerical
train5,Numerical,Numerical
train6,Numerical,Numerical
train7,Numerical,Numerical
train8,Numerical,Numerical
train9,Numerical,Numerical
train10,Numerical,Numerical
train11,Numerical,Numerical
train12,Numerical,Numerical
train13,Numerical,Numerical
train14,Numerical,Numerical
train15,Numerical,Numerical
train16,Numerical,Numerical
train17,Numerical,Numerical
train18,Numerical,Numerical
train19,Numerical,Numerical
train20,Numerical,Numerical
train21,Numerical,Numerical
train22,Numerical,Numerical
train23,Numerical,Numerical
train24,Numerical,Numerical
train25,Numerical,Numerical
train26,Numerical,Numerical
train27,Numerical,Numerical
train28,Numerical,Numerical
train29,Numerical,Numerical
train30,Numerical,Numerical
train31,Numerical,Numerical
train32,Numerical,Numerical
train33,Numerical,Numerical
train34,Numerical,Numerical
train35,Numerical,Numerical
train36,Numerical,Numerical
train37,Numerical,Numerical
train38,Numerical,Numerical
train39,Numerical,Numerical
train40,Numerical,Numerical
train41,Numerical,Numerical
train42,Numerical,Numerical
train43,Numerical,Numerical
train44,Numerical,Numerical
train45,Numerical,Numerical
train46,Numerical,Numerical
train47,Numerical,Numerical
train48,Numerical,Numerical
train49,Numerical,Numerical
train50,Numerical,Numerical
train51,Numerical,Numerical
train52,Numerical,Numerical
train53,Numerical,Numerical
train54,Numerical,Numerical
train55,Numerical,Numerical
train56,Numerical,Numerical
train57,Numerical,Numerical
train58,Numerical,Numerical
train59,Numerical,Numerical
train60,Numerical,Numerical
train61,Numerical,Numerical
train62,Numerical,Numerical
train63,Numerical,Numerical
train64,Numerical,Numerical
train65,Numerical,Numerical
train66,Numerical,Numerical
train67,Numerical,Numerical
train68,Numerical,Numerical
train69,Numerical,Numerical
train70,Numerical,Numerical
train71,Numerical,Numerical
train72,Numerical,Numerical
train73,Numerical,Numerical
train74,Numerical,Numerical
train75,Numerical,Numerical
train76,Numerical,Numerical
train77,Numerical,Numerical
train78,Numerical,Numerical
train79,Numerical,Numerical
train80,Numerical,Numerical
train81,Numerical,Numerical
train82,Numerical,Numerical
train83,Numerical,Numerical
train84,Numerical,Numerical
train85,Numerical,Numerical
train86,Numerical,Numerical
train87,Numerical,Numerical
train88,Numerical,Numerical
train89,Numerical,Numerical
train90,Numerical,Numerical
train91,Numerical,Numerical
train92,Numerical,Numerical
train93,Numerical,Numerical
train94,Numerical,Numerical
train95,Numerical,Numerical
train96,Numerical,Numerical
train97,Numerical,Numerical
train98,Numerical,Numerical
train99,Numerical,Numerical
train100,Numerical,Numerical
train101,Numerical,Numerical
train102,Numerical,Numerical
train103,Numerical,Numerical
